"country","year","production"
"VEN",1991,133911.372101476
"VEN",1992,134365.63874964
"VEN",1993,140408.477409304
"VEN",1994,145014.21112379
"VEN",1995,157571.501966516
"VEN",1996,179260.150524113
"VEN",1997,189700.724778276
"VEN",1998,184229.760502594
"VEN",1999,165722.851990775
"VEN",2000,170907.433236662
"VEN",2001,169398.554074949
"VEN",2002,155858.702813371
"VEN",2003,137544.524995949
"VEN",2004,174430.232064682
"VEN",2005,180943.813885949
"VEN",2006,183923.93818845
"VEN",2007,157993.015724478
"VEN",2008,161640.914826559
"VEN",2009,163493.454741274
"VEN",2010,161781.227472024
"VEN",2011,162239.97563643
"VEN",2012,157932.871092323
"VEN",2013,156396.382879246
"VEN",2014,150325.704433416
"VEN",2015,149087.774746511
"VEN",2016,133988.810888777
"VEN",2017,117650.399399564
